
覂	feng
錶	biao
錷	ga
錰	shu
錱	zhen
録	lu
錳	meng
錭	diao
錬	lian
錯	cuo
錮	gu
錩	chang
錨	mao
錫	xi
錪	tian
錥	yu
錤	ji
錧	guan
錦	jin
錡	qi
錠	ding
錣	zhui
錢	qian
鍚	yang
鍛	duan
鍘	zha
鍙	hu
鍞	keng
鍟	xing
鍜	xia
鍝	yu
鍒	rou
鍓	ji
鍐	zong
鍑	fu
鍖	chen
鍗	ti
鍔	e
鍕	jun
鍋	guo
鍊	lian
鍈	yang
鍏	wei
鍎	tu
鍍	du
鍌	xian
鍃	huo
鍁	xian
鍀	de
鍇	kai
鍆	men
鍅	fa
鍄	liang
鍸	hu
鍹	xuan
鍺	zhe
鍻	jie
鍼	zhen
鍽	bian
鍾	zhong
鍿	zi
鍰	huan
鍱	ye
鍲	min
鍳	jian
鍴	duan
鍵	jian
鍶	si
鍷	kui
鍩	nuo
鍨	kui
鍫	qiao
鍪	mou
鍭	hou
鍬	qiao
鍯	zong
鍮	tou
鍡	wei
鍠	huang
鍣	zhao
鍢	fu
鍥	qie
鍤	cha
鍧	hong
鍦	shi
鎗	qiang
鎖	suo
鎕	tang
鎔	rong
鎓	weng
鎒	nou
鎑	ye
鎐	yao
鎟	sang
鎞	bi
鎝	da
鎜	pan
鎛	bo
鎚	chui
鎙	shuo
鎘	ge
鎆	qian
鎇	mei
鎄	ai
鎅	gai
鎂	mei
鎃	pai
鎀	xiu
鎁	ye
鎎	kai
鎏	liu
鎌	lian
鎍	se
鎊	bang
鎋	xia
鎈	cha
鎉	da
鎵	jia
鎴	xi
鎷	ma
鎶	ke
鎱	yuan
鎰	yi
鎳	nie
鎲	tang
鎽	feng
鎼	xia
鎿	na
鎾	wen
鎹	song
鎸	juan
鎻	suo
鎺	zu
鎤	huang
鎥	tiao
鎦	liu
鎧	kai
鎠	gang
鎡	zi
鎢	wu
鎣	ying
鎬	gao
鎭	zhen
鎮	zhen
鎯	lang
鎨	sun
鎩	shi
鎪	sou
鎫	man
鏓	zong
鏒	qiao
鏑	di
鏐	liu
鏗	keng
鏖	ao
鏕	ao
鏔	yi
鏛	chang
鏚	qi
鏙	cui
鏘	qiang
鏟	chan
鏞	yong
鏝	man
鏜	tang
鏂	ou
鏃	zu
鏀	lu
鏁	suo
鏆	guan
鏇	xuan
鏄	tuan
鏅	xiu
鏊	ao
鏋	man
鏈	lian
鏉	sou
鏎	bi
鏏	wei
鏌	mo
鏍	luo
鏱	zhang
鏰	beng
鏳	cheng
鏲	qian
鏵	hua
鏴	lu
鏷	pu
鏶	ji
鏹	qiang
鏸	hui
鏻	lin
鏺	po
鏽	xiu
鏼	se
鏿	cheng
鏾	xian
鏠	feng
鏡	jing
鏢	biao
鏣	shu
鏤	lou
鏥	xiu
鏦	cong
鏧	long
鏨	zan
鏩	jian
鏪	cao
鏫	li
鏬	xia
鏭	xi
鏮	kang
鏯	shuang
鑧	kuan
鑦	xian
鑥	lu
鑤	bao
鑣	biao
鑢	lv
鑡	chuo
鑠	shuo
鑯	jian
鑮	bo
鑭	lan
鑬	jian
鑫	xin
鑪	lu
鑩	e
鑨	long
鑶	cang
鑷	nie
鑴	xi
鑵	guan
鑲	xiang
鑳	jian
鑰	yue
鑱	chan
鑾	luan
鑿	zuo
鑼	luo
鑽	zuan
鑺	qu
鑻	pan
鑸	lei
鑹	cuan
鑅	heng
鑄	zhu
鑇	ji
鑆	zhui
鑁	zong
鑀	ai
鑃	diao
鑂	xun
鑍	ying
鑌	bin
鑏	ning
鑎	kui
鑉	he
鑈	ni
鑋	qing
鑊	huo
鑔	cha
鑕	zhi
鑖	mi
鑗	li
鑐	xu
鑑	jian
鑒	jian
鑓	qian
鑜	shang
鑝	peng
鑞	la
鑟	du
鑘	lei
鑙	ji
鑚	zuan
鑛	kuang
鐣	zhang
鐡	tie
鐠	pu
鐧	jian
鐦	kai
鐥	shan
鐤	ding
鐫	juan
鐪	lu
鐩	sui
鐨	fei
鐯	zhuo
鐮	lian
鐭	ao
鐬	hui
鐲	zhuo
鐳	lei
鐰	qiao
鐱	jian
鐶	huan
鐷	ye
鐴	bei
鐵	tie
鐺	tang
鐻	ju
鐸	duo
鐹	guo
鐾	bei
鐿	yi
鐼	fen
鐽	da
鐁	si
鐀	kui
鐃	nao
鐂	liu
鐅	pie
鐄	huang
鐇	fan
鐆	sui
鐉	quan
鐈	qiao
鐋	tang
鐊	yang
鐍	jue
鐌	xiang
鐏	zun
鐎	jiao
鐐	liao
鐑	jie
鐒	lao
鐓	dui
鐔	xin
鐕	zan
鐖	ji
鐗	jian
鐘	zhong
鐙	deng
鐚	ya
鐛	ying
鐜	dui
鐝	jue
鐞	nou
鐟	ti
铮	zheng
铯	se
铬	ge
铭	ming
铪	ha
铫	yao
铨	quan
铩	sha
铦	xian
铧	hua
铤	ting
铥	diu
铢	zhu
铠	kai
铡	zha
铿	keng
链	lian
铽	te
铼	lai
铺	pu
铹	lao
铸	zhu
铷	ru
银	yin
铵	an
铴	tang
铳	chong
铲	chan
铱	yi
铰	jiao
铌	ni
铍	pi
铎	duo
铏	xing
铈	shi
铉	xuan
铊	ta
铋	bi
铄	shuo
铅	qian
铆	mao
铇	bao
铀	you
铁	tie
铂	bo
铃	ling
铝	lv
铜	tong
铟	yin
铞	diao
铙	nao
铘	ye
铚	zhi
铕	you
铔	ya
铗	jia
铖	cheng
铑	lao
铐	kao
铓	mang
铒	er
钪	kang
钫	fang
钨	wu
钩	gou
钮	niu
钯	ba
钬	huo
钭	dou
钢	gang
钣	ban
钠	na
钡	bei
钦	qin
钧	jun
钤	qian
钻	zuan
钺	yue
钹	bo
钸	bu
钿	dian
钾	jia
钽	tan
钼	mu
钳	qian
钲	zheng
钱	qian
钰	yu
钷	po
钶	ke
钵	bo
钴	gu
针	zhen
钉	ding
钊	zhao
钋	po
钌	liao
钍	tu
钎	qian
钏	chuan
钀	nie
钁	jue
钂	tang
钃	shu
钄	lan
钆	ga
钇	yi
钙	gai
钘	xing
钛	tai
钚	bu
钝	dun
钜	ju
钟	zhong
钞	chao
钑	sa
钐	shan
钓	diao
钒	fan
钕	nv
钔	men
钗	chai
钖	yang
镴	la
镵	chan
镶	xiang
镰	lian
镱	yi
镲	cha
镳	biao
镼	jue
镽	liao
镾	mi
镸	zhang
镹	jiu
镺	ao
镻	die
镥	lu
镤	pu
镧	lan
镦	dui
镡	xin
镠	liu
镣	liao
镢	jue
镭	lei
镬	huo
镯	zhuo
镮	huan
镩	cuan
镨	pu
镫	deng
镪	qiang
镖	biao
镗	tang
镔	bin
镕	rong
镒	yi
镓	jia
镐	gao
镑	bang
镞	zu
镟	xuan
镜	jing
镝	di
镚	beng
镛	yong
镘	man
镙	luo
镇	zhen
镆	mo
镅	mei
镄	fei
镃	zi
镂	lou
镁	mei
镀	du
镏	liu
镎	na
镍	nie
镌	juan
镋	tang
镊	nie
镉	ge
镈	bo
锰	meng
锱	zi
锲	qie
锳	ying
锴	kai
锵	qiang
锶	si
锷	e
锸	cha
锹	qiao
锺	zhong
锻	duan
锼	sou
锽	huang
锾	huan
锿	ai
锡	xi
锠	chang
锣	luo
锢	gu
锥	zhui
锤	chui
锧	zhi
锦	jin
锩	juan
锨	xian
锫	pei
锪	huo
锭	ding
锬	tan
锯	ju
键	jian
锒	liang
锓	qin
锐	rui
锑	ti
锖	qiang
锗	zhe
锔	ju
锕	a
锚	mao
锛	ben
锘	nuo
错	cuo
锞	ke
锟	kun
锜	qi
锝	de
锃	zeng
锂	li
锁	suo
销	xiao
锇	e
锆	gao
锅	guo
锄	chu
锋	feng
锊	lue
锉	cuo
锈	xiu
锏	jian
锎	kai
锍	liu
锌	xin
闽	min
闼	ta
闿	kai
闾	lv
闹	nao
闸	zha
闻	wen
闺	gui
闵	min
间	jian
闷	men
闶	kang
闱	wei
闰	run
闳	hong
闲	xian
闬	han
闭	bi
问	wen
闯	chuang
门	men
闩	shuan
闪	shan
闫	yan
闤	huan
闥	ta
闦	wen
闠	hui
闡	chan
闣	dang
闟	xi
闝	piao
關	guan
闛	tang
闚	kui
闙	qi
闘	dou
闗	wan
闖	chaung
闕	que
闔	he
闓	kai
闒	ta
闑	nie
闐	tian
闎	quan
闌	lan
闊	kuo
闋	que
闈	wei
闉	yin
闆	ban
闇	an
闄	yao
闅	wen
闂	hong
闃	qu
闀	xiang
闁	bao
閹	yan
閸	kun
閻	yan
閺	yan
閽	hun
閼	e
閿	wen
閾	yu
閱	yue
閰	ju
閳	chan
閲	yue
閵	lin
閴	qu
閷	sha
閶	chang
閨	gui
閩	min
閫	kun
閬	lang
閭	lv
閮	ting
閯	sha
閠	run
閡	he
関	guan
閣	ge
閤	ge
閥	fa
閦	chu
閧	hong
閛	peng
閚	zhan
閙	nao
閘	zha
閟	bi
閞	bian
閝	ling
閜	e
間	jian
閒	xian
閑	xian
閐	san
閗	dou
閖	shui
閕	xia
閔	min
閊	shan
開	kai
閈	han
閉	bi
閎	hong
閏	run
閌	kang
閍	beng
閂	shuan
閃	shan
門	men
閁	ma
閆	yan
閇	bi
閄	huo
閅	men
陁	tuo
陀	tuo
陃	bing
陂	bei
际	ji
附	fu
陇	long
陆	lu
陉	xing
陈	chen
陋	lou
陊	duo
陌	mo
陏	duo
陎	shu
限	xian
陑	er
陒	gui
陓	yu
陔	gai
陕	shan
陖	jun
陗	qiao
陘	xing
陙	chun
陚	wu
陛	bi
陜	shan
陝	shan
陞	sheng
陟	zhi
陣	zhen
院	yuan
陡	dou
陠	pu
陧	nie
陦	dao
陥	xian
除	chu
陫	pei
陪	pei
险	xian
陨	yun
陯	lun
陮	dui
陭	yi
陬	zou
陲	chui
陳	chen
陰	yin
陱	ju
陶	tao
陷	xian
陴	pi
陵	ling
険	xian
陻	yin
陹	sheng
陾	reng
陿	xia
陽	yang
阅	yue
阄	jiu
阆	lang
阁	ge
阀	fa
阃	kun
阂	he
阍	hun
阌	wen
阏	yan
阎	yan
阉	yan
阈	yu
阋	xi
阊	chang
阔	kuo
阕	que
阖	he
阗	tian
阐	chan
阑	lan
阒	qu
阓	hui
阜	fu
阞	le
队	dui
阘	ta
阙	que
阛	huan
阧	dou
阦	yang
阥	yin
阤	yi
阣	yi
阢	wu
阡	qian
阠	xin
阯	zhi
阮	ruan
阭	yan
阬	gang
阫	pei
阪	ban
阩	sheng
阨	e
阶	jie
阷	cheng
阴	yin
阵	zhen
防	fang
阳	yang
阰	pi
阱	jing
阾	ling
阼	zuo
阽	dian
阺	di
阻	zu
阸	e
阹	qu
雈	huan
雉	zhi
雊	gou
雋	juan
雌	ci
雍	yong
雎	ju
雏	chu
雀	que
雁	yan
雂	qin
雃	jie
雄	xiong
雅	ya
集	ji
雇	gu
雙	shuang
雘	wo
雛	chu
雚	guan
雝	yong
雜	za
雟	xi
雞	ji
雑	za
雐	hu
雓	yu
雒	luo
雕	diao
雔	chou
雗	han
雖	sui
雪	xue
雫	na
雨	yu
雩	yu
雮	mu
雯	wen
雬	fu
雭	se
離	li
難	nan
雠	chou
雡	liu
雦	ji
雧	ji
雤	xue
雥	za
電	dian
雹	bao
雸	an
雿	diao
雾	wu
雽	hu
雼	dang
雳	li
雲	yun
雱	pang
雰	fen
雷	lei
零	ling
雵	yang
雴	li
隌	an
隍	huang
階	jie
随	sui
隈	wei
隉	nie
隊	dui
隋	sui
隄	di
隅	yu
隆	long
隇	wei
隀	chong
隁	yan
隂	yin
隃	yu
隝	dao
障	zhang
隟	xi
隞	ao
隙	xi
隘	ai
際	ji
隚	tang
隕	yun
隔	ge
隖	wu
隐	yin
隓	duo
隒	yan
隮	ji
隯	dao
隬	ni
隭	er
險	xian
隫	fen
隨	sui
隩	yu
隦	pi
隧	sui
隤	tui
隥	deng
隢	rao
隣	lin
隠	yin
隡	sa
隿	yi
难	nan
隽	juan
隼	sun
隻	zhi
隺	he
隹	zhui
隸	li
隷	li
隶	li
隵	xi
隴	long
隳	hui
隲	zhi
隱	yin
隰	xi
青	qing
靐	bing
靑	qing
靖	jing
靗	cheng
靔	tian
靕	zhen
靛	dian
靘	qing
静	jing
非	fei
靟	fei
靜	jing
靝	tian
靃	huo
靂	li
靁	lei
靀	meng
靇	ling
靆	dai
靅	fei
靄	ai
靋	li
靊	feng
靉	ai
靈	ling
靏	he
靎	he
靍	he
靌	bao
靰	wu
靱	ren
靲	qin
靳	jin
靴	xue
靵	niu
靶	ba
靷	yin
靸	sa
靺	mo
靻	zu
靼	da
靽	ban
靾	yi
靿	yao
靡	mi
靠	kao
靣	mian
面	mian
靥	ye
靤	pao
靧	hui
革	ge
靨	ye
靫	cha
靪	ding
靭	ren
靬	jian
靯	du
靮	di
霖	lin
霗	ling
霔	zhu
霕	tun
霒	yin
霓	ni
霐	weng
霑	zhan
霞	xia
霟	hong
霜	shuang
霝	ling
霚	wu
霛	ling
霘	dong
霙	ying
震	zhen
霆	ting
霅	zha
霄	xiao
霃	chen
霂	mu
霁	ji
需	xu
霏	fei
霎	sha
霍	huo
霌	zhou
霋	qi
霊	ling
霉	mei
霈	pei
霴	dai
霵	ji
霶	pang
霷	yang
霰	xian
霱	yu
霳	long
霼	xi
霽	ji
霾	mai
霿	mao
霸	ba
霹	pi
霺	wei
霥	meng
霤	liu
霧	wu
霦	bin
霡	mai
霠	yin
霣	yun
霢	mai
霭	ai
霬	yi
霯	teng
霮	dan
霩	kuo
霨	wei
霫	xi
霪	yin
韛	bai
韚	ge
韙	wei
韘	she
韟	gao
韞	yun
韝	bei
韜	tao
韓	han
韒	qiao
韑	wei
韐	ge
韗	yun
韖	rou
韕	kuo
韔	chang
韊	lan
韋	wei
韈	wa
韉	jian
韎	wa
韏	juan
韌	ren
韍	fu
韂	chan
韃	da
韀	jian
韁	jiang
韆	qian
韇	du
韄	hu
韅	xian
韹	huang
韸	peng
韻	yun
韺	ying
韽	an
韼	peng
響	xiang
韾	hu
韱	xian
韰	xie
音	yin
韲	ji
韵	yun
韴	za
韷	luo
韶	shao
韨	fu
韩	han
韪	wei
韫	yun
韬	tao
韭	jiu
韮	jiu
韯	xian
韠	bi
韡	wei
韢	hui
韣	du
韤	wa
韥	du
韦	wei
韧	ren
鞟	kuo
鞞	bing
鞝	shang
鞜	ta
鞛	beng
鞚	kong
鞙	xuan
鞗	tiao
鞖	sui
鞕	ying
鞔	man
鞓	ting
鞒	qiao
鞑	da
鞐	qia
鞎	hen
鞏	gong
鞌	an
鞍	an
鞊	ji
鞋	xie
鞈	jia
鞉	tao
鞆	bing
鞇	yin
鞄	bao
鞅	yang
鞂	jia
鞃	hong
鞀	tao
鞁	bei
鞽	qiao
鞼	gui
鞿	ji
鞾	xue
鞹	kuo
鞸	bi
鞻	lou
鞺	tang
鞵	xie
鞴	bei
鞷	ge
鞶	pan
鞱	tao
鞳	ta
鞲	gou
鞬	jian
鞭	bian
鞮	di
鞯	jian
鞨	he
鞩	qiao
鞪	mou
鞫	ju
鞤	bang
鞥	eng
鞦	qiu
鞧	qiu
鞠	ju
鞡	la
鞢	xie
鞣	rou
㈥	liu
㈤	wu
㈧	ba
㈦	qi
㈡	er
㈠	yi
㈣	si
㈢	san
㈩	shi
㈨	jiu
乿	luan
乾	qian
乹	gan
乸	na
乷	sha
乵	yan
乴	xue
乳	ru
乱	luan
买	mai
乪	nang
乨	shi
乩	ji
书	shu
乧	dou
乢	gai
乣	jiu
习	xi
乡	xiang
九	jiu
也	ye
乞	qi
乙	yi
乛	wan
乚	yin
乕	hu
乔	qiao
乗	cheng
乖	guai
乑	yin
乓	pang
乒	ping
乌	wu
乍	zha
乎	hu
乏	fa
么	me
义	yi
之	zhi
乄	wu
久	jiu
乆	jiu
乀	fu
乁	yi
乃	nai
主	zhu
为	wei
丹	dan
丸	wan
丿	pie
举	ju
丽	li
丼	dan
丳	chan
串	chuan
丱	guan
丰	feng
丷	ba
丶	dian
丵	zhuo
临	lin
个	ge
丫	ya
丨	shu
丩	jiu
丮	ji
丯	jie
中	zhong
丢	diu
丣	you
丠	qiu
両	liang
並	bing
丧	sang
两	liang
严	yan
丙	bing
丘	qiu
丛	cong
业	ye
丝	si
东	dong
丟	diu
丞	cheng
丑	chou
丐	gai
专	zhuan
丒	chou
丕	pi
丗	shi
世	shi
丈	zhang
三	san
上	shang
下	xia
不	bu
与	yu
丏	mian
一	yi
丁	ding
丂	yu
七	qi
丄	shang
丅	xia
万	wan
件	jian
价	jia
仴	wo
仵	wu
仲	zhong
仳	pi
仰	yang
仱	qian
仾	di
仿	fang
仼	wang
份	fen
仺	cang
任	ren
仸	yao
仹	feng
仧	chang
仦	niao
以	yi
令	ling
代	dai
仢	shao
仡	ge
仠	qian
仯	miao
仮	fan
仭	ren
们	men
仫	mu
仪	yi
仩	shang
仨	san
仔	zi
仕	shi
他	ta
仗	zhang
仐	tao
仑	lun
仓	cang
仜	hong
仝	tong
仞	ren
仟	qian
付	fu
仙	xian
仚	xian
仛	tuo
仅	jin
仄	ze
仇	chou
仆	pu
仁	ren
仃	ding
仂	le
仍	reng
仌	bing
仏	fo
从	cong
仉	zhang
仈	ba
介	jie
今	jin
亲	qin
亳	bo
亰	jing
亱	ye
亶	dan
亷	lian
亴	you
亵	xie
人	ren
亸	duo
亾	wang
亿	yi
亼	ji
亣	da
亢	kang
亡	wang
产	chan
亦	yi
亥	hai
交	jiao
享	xiang
亩	mu
亨	heng
亯	xiang
亮	liang
亭	ting
京	jing
亐	yu
云	yun
互	hu
亓	qi
五	wu
井	jing
亖	si
亗	sui
亘	gen
亙	gen
亚	ya
些	xie
亜	ya
亝	qi
亞	ya
亟	ji
亁	gan
亀	gui
亃	lin
亂	luan
亅	jue
亄	yi
争	zheng
予	yu
事	shi
亊	shi
亍	chu
二	er
亏	kui
于	yu
佬	lao
佭	xiang
佮	ge
佯	yang
佨	bao
佩	pei
佪	hui
佫	he
佤	wa
佥	qian
佦	shi
佧	ka
你	ni
佡	xian
佢	qu
佣	yong
佽	ci
佼	jiao
使	shi
佾	yi
佹	gui
佸	huo
佻	tiao
佺	quan
併	bing
佴	nai
佷	hen
佶	ji
佱	fa
佰	bai
佳	jia
佲	ming
低	di
住	zhu
佌	ci
位	wei
佊	bi
佋	shao
佈	bu
佉	qu
但	dan
佇	zhu
佄	han
佅	mei
佂	zheng
佃	dian
佀	si
佟	tong
佞	ning
佝	gou
作	zuo
佛	fo
佚	yi
余	yu
佘	she
佗	tuo
佖	bi
何	he
佔	zhan
体	ti
佒	yang
佑	you
佐	zuo
伨	xun
伩	xin
伪	wei
伫	zhu
伬	ze
伭	xuan
伮	nu
伯	bo
伢	ya
伤	shang
伥	chang
伦	lun
伧	cang
伹	qu
伸	shen
伻	beng
伺	si
伽	jia
似	si
伿	yi
伾	pi
伱	ni
估	gu
伳	xie
伲	ni
伵	xu
伴	ban
伷	zhou
伶	ling
伊	yi
伋	ji
伈	xin
伉	kang
伎	ji
伏	fu
伌	ai
伍	wu
伂	pei
伃	yu
伀	zhong
企	qi
伆	wen
伇	yi
伄	diao
伅	dun
伛	yu
伙	huo
优	you
伟	wei
伞	san
伝	chuan
伜	zu
伓	pi
伒	jin
休	xiu
伐	fa
众	zhong
伖	nu
伕	fu
伔	zhen
俥	ju
俤	di
俧	zhi
俦	chou
信	xin
俠	xia
俣	yu
俢	xiu
俭	jian
俬	si
俯	fu
修	xiu
俨	yan
俫	lai
俪	li
俴	jian
俵	biao
俷	fei
俰	huo
俱	ju
俲	xiao
俳	pai
俼	yu
俽	xin
俾	bi
俿	hu
俸	feng
俹	ya
俺	an
俻	bei
俇	guang
俆	xu
俅	qiu
俄	e
促	cu
俁	yu
俀	tui
俏	qiao
俎	zu
俍	lang
俌	fu
俋	yi
俊	jun
俉	wu
俈	ku
俖	pei
俗	su
俔	qian
俕	san
俒	hun
俓	ying
俐	li
俑	yong
俜	ping
保	bao
俚	li
俛	fu
俘	fu
俙	xi
価	si
侠	xia
侣	lv
侢	dai
侥	jiao
侧	ce
侦	zhen
侩	kuai
侨	qiao
侫	ning
侪	chai
侭	jin
侬	nong
侯	hou
侮	wu
侰	jiong
侱	ting
侲	zhen
侳	zuo
侴	chou
侵	qin
侶	lv
侷	ju
侸	dou
侹	ting
侺	shen
侻	tuo
侼	bo
侽	nan
侾	xiao
侃	kan
侂	tuo
侁	shen
侀	xing
侇	yi
來	lai
侅	gai
侄	zhi
例	li
侊	guang
侉	kua
侈	chi
侏	zhu
侎	mi
侍	shi
侌	yin
侒	an
侓	lu
侐	xu
侑	you
侖	lun
侗	dong
侔	mou
侕	er
侚	xun
供	gong
侘	cha
侙	chi
侞	ru
侟	jian
侜	zhou
依	yi
嗱	na
嗳	ai
嗲	dia
嗵	tong
嗴	qiang
嗷	ao
嗶	bi
嗹	lian
嗸	ao
嗻	zhe
嗺	sui
嗽	sou
嗼	mo
嗿	tan
嗾	sou
嗠	lao
嗡	weng
嗢	wa
嗣	si
嗤	chi
嗥	hao
嗦	suo
嗨	hai
嗩	suo
嗪	qin
嗫	nie
嗬	he
嗮	sai
嗯	en
嗓	sang
嗑	ke
嗐	hai
嗖	sou
嗕	ru
嗔	chen
嗛	qian
嗚	wu
嗙	pang
嗘	ji
嗟	jie
嗞	zi
嗝	ge
嗜	shi
嗂	yao
嗀	huo
嗁	ti
嗆	qiang
嗇	se
嗄	a
嗅	xiu
嗊	gong
嗋	xie
嗈	yong
嗉	su
嗎	ma
嗏	cha
嗍	suo
喵	miao
喴	wei
喷	pen
営	ying
喱	li
喰	can
喲	yo
喽	lou
喿	zao
喾	ku
喹	kui
喻	yu
喺	bei
喤	huang
喥	duo
喦	yan
喧	xuan
喠	zhong
喡	wei
喢	sha
喣	xu
喬	qiao
喭	yan
單	dan
喯	pen
喨	liang
喩	yu
喪	sang
喫	chi
喗	yun
喖	hu
喕	mian
喔	wo
喓	yao
喒	zan
喑	yin
喐	yu
喟	kui
喞	ji
喝	he
喜	xi
喛	huan
喚	huan
喙	hui
喘	chuan
喆	zhe
喇	la
善	shan
喅	yu
喂	wei
喃	nan
喀	ka
喁	yong
喎	wai
喌	zhou
喍	chai
喊	han
喋	die
喈	jie
喉	hou
啸	xiao
啺	tang
啻	chi
啼	ti
啽	an
啾	jiu
啿	dan
啰	luo
啲	di
啳	jue
啵	bo
啶	ding
啷	lang
啩	gua
啨	ying
啫	ze
啪	pa
啭	zhuan
啬	se
啯	guo
啮	nie
啡	fei
啠	zhe
啣	xian
啢	liang
啥	sha
啤	pi
啧	ze
啦	la
啚	bi
啛	cui
啘	wa
啙	zi
啞	ya
啟	qi
啝	he
啒	hu
啓	qi
啐	cui
啑	ti
啖	dan
啗	dan
啔	qi
啕	tao
啋	xiao
啊	a
啉	lin
啈	heng
問	wen
啎	wu
啍	run
啌	xiang
啃	ken
啂	nou
啁	zhou
啀	ai
啇	di
商	shang
啅	zhuo
啄	zhuo
唼	sha
唽	xi
唾	tuo
唿	hu
唸	nian
唹	yu
唺	tian
唻	lai
唴	qiang
唵	an
唶	jie
唷	yo
唰	shua
唱	chang
唳	li
唭	qi
唬	hu
唯	wei
售	shou
唩	wo
唫	yin
唪	feng
唤	huan
唧	ji
唦	sha
唡	liang
唠	lao
唣	zao
唢	suo
唝	gong
唚	qin
唛	ma
唘	qi
唙	di
唖	ya
唗	du
唔	wu
唕	zao
唒	qiu
唓	che
唐	tang
唑	zuo
唏	xi
唎	li
唍	wan
唌	yan
唋	tu
唊	jia
唉	ai
唈	yi
唇	chun
唆	suo
唅	han
唄	bai
唃	gu
唂	gu
唁	yan
唀	you
哢	ka
哣	pou
哠	hao
員	yuan
哧	chi
哤	mang
哥	ge
哪	na
哫	zu
哨	shao
哩	li
哮	xiao
哯	xian
哬	he
哭	ku
哳	zha
哲	zhe
哱	po
哰	lao
哷	lie
哶	mie
哵	ba
哴	lang
哻	han
哺	bu
哹	fu
哸	sui
哿	ge
哾	yue
哽	geng
哼	heng
哀	ai
品	pin
哂	shen
哃	tong
哄	hong
哅	xiong
哆	duo
哇	wa
哈	ha
哉	zai
哊	you
哋	mi
哌	pai
响	xiang
哎	ai
哏	gen
哑	ya
哐	kuang
哓	xiao
哒	da
哕	yue
哔	bi
哗	hua
哖	nian
哙	kuai
哘	xing
哚	duo
哝	nong
哜	ji
哟	yo
哞	mou
咦	yi
咧	lie
咤	zha
咢	e
咣	guang
咠	qi
咡	er
咮	zhou
咬	yao
咭	ji
咪	mi
咫	zhi
咨	zi
咩	mie
咷	tao
咶	huai
咵	kua
咴	hui
咳	ke
咲	xiao
咱	zan
咰	xun
咿	yi
咾	lao
咽	yan
咼	guo
咻	xiu
咺	xuan
咹	e
咸	xian
咄	duo
咅	tou
咆	pao
咇	bi
咀	ju
咁	qian
咂	za
咃	tuo
咍	ha
咎	jiu
咏	yong
咈	fu
咉	yang
咕	gu
咔	ka
咗	zuo
咖	ka
咑	da
咐	fu
咓	wa
咒	zhou
咝	si
咜	ta
咟	huo
咞	xian
咙	long
咘	bu
咛	ning
咚	dong
呪	zhou
呩	shi
周	zhou
呯	ping
呮	qi
呭	yi
呬	xi
呣	m
呢	ne
呡	wen
呠	pen
呧	di
呦	you
呥	ran
呤	ling
呻	shen
呸	pei
呹	yi
呾	ju
呿	qu
呼	hu
命	ming
呲	zi
味	wei
呰	zi
呱	gua
呶	nao
呷	xia
呴	xu
呵	he
呉	wu
呈	cheng
呋	fu
呍	yun
呌	jiao
呁	jun
呀	ya
呃	e
呂	lv
呄	ge
呇	qi
呆	dai
员	yuan
呙	guo
呚	wen
呛	qiang
呜	wu
呝	ai
呞	shi
呟	quan
呐	na
呑	tun
呓	yi
呔	dai
呕	ou
呖	li
呗	bei
启	qi
吮	shun
听	ting
含	han
吪	e
吩	fen
吨	dun
吧	ba
吥	bu
吤	ga
吣	qin
吢	qin
吡	bi
吠	fei
吾	wu
吿	gao
吼	hou
吽	hong
吺	dou
吻	wen
吸	xi
吹	chui
吶	na
吷	xue
吴	wu
吵	chao
吲	yin
吳	wu
吰	hong
吱	zhi
名	ming
同	tong
吏	li
后	hou
吉	ji
吋	cun
吊	diao
吅	xuan
各	ge
吇	zi
吆	yao
吀	mi
吃	chi
吂	mang
吜	chou
吝	lin
吞	tun
吟	yin
吘	ou
吙	huo
吚	yi
君	jun
吔	ye
吕	lv
吖	a
吗	ma
吐	tu
向	xiang
吒	zha
吓	xia
埗	bu
埖	hua
埕	cheng
埓	lie
埒	lie
埑	zhe
埐	jin
域	yu
埞	di
埝	nian
埜	ye
埛	jiong
埚	guo
埙	xun
埘	shi
埆	que
埇	yong
埅	fang
埂	geng
埃	ai
埀	chui
埁	qin
城	cheng
埌	lang
埊	di
埋	mai
埈	jun
埉	jia
埵	duo
埴	zhi
執	zhi
埶	yi
埱	chu
埰	cai
埳	kan
埲	beng
埽	sao
埼	qi
埿	ni
埾	ju
培	pei
埸	yi
埻	zhun
基	ji
埤	pi
埥	qing
埦	wan
埧	ju
埠	bu
埡	ya
埢	quan
埣	sui
埬	dong
埭	dai
埮	tan
埯	an
埨	lun
埩	zheng
埪	kong
埫	chong
垓	ga
垒	lei
垑	chi
垐	ci
垗	zhao
垖	dui
垕	hou
垔	yin
垛	duo
垚	yao
垙	guang
垘	fu
垟	yang
垞	cha
垝	gui
垜	duo
垂	chui
垃	la
垀	hu
垁	zhi
垆	lu
垇	ao
垄	long
垅	long
垊	min
型	xing
垈	fa
垉	bao
垎	he
垏	lu
垌	dong
垍	jian
垱	dang
垰	ka
垳	hang
垲	kai
垵	an
垴	nao
垷	xian
垶	xing
垹	bang
垸	yuan
垻	ba
垽	yin
垼	yi
垿	xu
垾	han
垠	yin
垡	fa
垢	gou
垣	yuan
垤	die
垥	xie
垦	ken
垧	shang
垨	shou
垩	e
垪	bing
垫	dian
垬	hong
垭	ya
垮	kua
垯	da
